Transformer-LSTM,BiLSTM,GRU,LSTM,RNN,Transformer,Informer,Transformer-BiLSTM
22.66290038,19.89702815,24.96636661,25.9228671,26.92437515,26.16587734,18.57793145,23.66586801
21.58080675,19.87366578,24.58898718,24.96427931,26.91992256,26.09137231,18.30934886,24.06403652
22.12110509,19.84845445,24.3501668,25.4016221,26.91556212,26.674354,18.0852416,23.10409591
20.69147041,19.82201343,24.13372922,24.6263175,26.91172477,26.62487698,17.65253108,24.23856731
20.84000911,19.79408791,23.6608652,24.96845695,26.90808098,26.68438124,18.39052226,22.90006485
19.69968404,19.76221403,23.176224,24.57970924,26.90470146,26.71069694,17.49660295,22.8387999
19.30486311,19.72226038,22.78413886,24.52907543,26.90077504,26.75031556,17.6621702,21.38165626
19.58202584,19.68632621,22.34834425,24.61715967,26.89801093,26.75563034,16.801098,20.72802196
18.67249378,19.59634506,22.59370844,23.95018075,26.89498237,26.75594225,17.02702863,20.88839945
18.19711337,19.38934381,22.39443494,23.93054711,26.89178114,26.75268125,16.99830499,21.09549338
18.00308335,19.4312997,21.63399504,23.62522274,26.8890326,26.7481248,17.4097525,20.99382559
18.48574021,21.14893665,21.28300379,23.31671733,26.88670671,26.72437369,16.81362143,20.91829469
18.25966519,19.55247404,20.88843177,23.52078741,26.88407472,26.711594,16.14756414,19.74518994
16.63070484,19.57128447,20.48160341,23.42260127,26.8819864,26.62273342,16.53025983,19.45814124
16.93791155,19.52250996,20.10138228,23.03822528,26.87983773,26.58566225,16.02302183,19.55813557
16.30207703,19.47420678,19.63542713,22.85506701,26.87795604,26.69702871,15.80700892,19.22056575
16.07714657,19.43136389,19.18195708,22.38195877,26.87636314,26.6751761,15.5450193,19.28287308
16.03910056,19.35780811,18.75715365,22.16956356,26.87497314,26.62355837,15.20814838,19.38062186
15.51035916,19.31350532,18.33277448,22.17984353,26.87377892,26.75408475,15.42438663,18.64479176
14.76440882,19.40675056,17.86638562,22.23286568,26.87250247,26.79220466,15.22273436,18.17593892
15.01230628,19.37780793,17.43163565,21.95326223,26.87152525,26.80698748,15.07866321,18.37066211
14.53479648,19.37609678,17.12462639,21.84194903,26.87055461,26.81269228,15.00077092,18.50399939
14.32942397,19.3406416,16.71650575,21.94587439,26.86957367,26.81120396,14.93217318,19.27927294
13.96088928,19.29769925,16.1712397,22.13648692,26.86910458,26.81025854,14.5927194,19.84625172
13.9333551,19.26177936,15.91639953,21.46114813,26.86852684,26.80171386,14.41681429,19.59347063
13.77887961,19.21403959,15.48328392,21.34094222,26.86788534,26.72745406,14.55717122,19.64868824
13.26812032,19.17666788,15.37130592,21.34757302,26.86737652,25.89187797,14.55298145,17.35719737
13.05070776,19.10572793,14.83868955,20.77403489,26.86701132,25.65616846,13.94551151,16.99532842
12.90874889,18.97467512,13.90507178,20.44774298,26.8665267,25.53183409,13.93833168,16.7528729
13.3714964,18.72290774,13.34116372,20.62641419,26.86639295,26.24823656,13.95121639,16.31820156
12.51527764,18.95839467,12.85314918,19.77138647,26.86608612,25.14696063,13.74544517,16.28021235
12.61432586,18.78910188,12.48851692,19.66698311,26.86582831,24.93796669,13.20669537,15.80307405
11.88737243,18.67572508,12.03413447,20.07948023,26.86552454,24.68223361,12.80037308,16.79004669
12.3647031,18.50440902,11.80711408,19.55988737,26.86544689,23.45054414,12.75138281,16.43369129
11.92206983,18.42094435,11.34907132,19.11543893,26.86519865,24.70368951,12.48964331,17.48477892
11.602263,18.31611684,11.12862891,18.82751715,26.86510321,24.5745052,13.50876748,17.32913059
11.43135948,18.16187734,10.63298602,18.8145014,26.86509795,23.78972805,12.47566031,18.06256278
11.21557314,18.19838376,10.19143799,18.41987728,26.86496792,23.74856341,12.70741971,17.8351218
11.27591316,18.1602555,9.730639443,18.166584,26.86486731,23.16006553,12.32216098,16.6667408
10.71592578,18.13199838,9.398966257,18.65568041,26.86487313,24.07608479,12.23715401,16.11503744
11.39707127,18.04591986,9.0616357,19.35366003,26.86482134,23.51141931,12.10209662,15.42701598
10.27873943,18.0756083,8.609700315,19.08199505,26.86477715,23.70731603,11.58978917,15.01933882
10.04136629,18.71375335,8.239333184,19.00655667,26.86475956,22.62668114,11.79951558,14.88462803
10.27708517,18.3483144,7.886339934,18.65440623,26.8647319,22.78650923,11.71045988,14.54219235
9.862267766,18.09404296,7.437211539,18.27988696,26.86468819,21.85745151,12.21198883,14.83576104
9.601974097,17.98454272,7.238093505,17.78364231,26.86471704,21.81216761,11.92930219,14.65161374
8.944339067,17.89996156,6.888798672,17.60573966,26.8646962,21.60944114,12.50234747,14.5926969
9.238221416,17.82052572,6.556526204,18.51863556,26.86465748,21.19152542,10.92569304,14.96580214
8.785766559,17.75757088,6.102024614,18.23859443,26.86470053,21.20460506,10.85999561,15.59852627
8.413641636,17.68109572,5.764038223,17.53612445,26.86476044,20.70712657,11.07628375,14.92975081
8.31998059,17.61804867,5.385452674,17.13086401,26.86471941,20.77007797,11.22546172,14.61056983
8.26980144,17.53594628,5.145373354,16.87112718,26.86474396,20.62034264,11.41584534,14.98622976
7.704255003,17.48232577,5.265667655,16.68349574,26.86479484,21.3242782,11.31172247,15.35060743
7.768820363,17.40683132,4.740908615,16.62782835,26.86481855,20.77675979,10.97863752,14.81635165
7.241531702,17.30958275,4.168421026,16.68277761,26.86483386,20.52265704,11.32126862,13.9561417
6.926543013,17.28150406,3.923818073,16.44796751,26.86485021,23.80298171,10.13689854,13.56876347
6.651366017,17.22485332,3.69952942,16.53434903,26.86486739,21.90691484,11.28786841,13.8916059
6.563385034,17.15799806,3.743050089,16.11491612,26.86490198,20.4489484,10.52858863,14.04397366
6.537339126,17.08462462,3.873534037,15.76915589,26.86493717,20.26382255,10.3694562,13.61367512
6.106106736,16.97873966,3.724022574,15.35865229,26.86496573,19.93270045,10.50043821,13.14458224
5.722511884,16.89622154,3.581710126,15.16353218,26.86496935,21.85081424,9.995153225,13.17000443
