数据时间,车辆状态,累计里程,总电压,总电流,电池单体电压最高值,电池单体电压最低值,最高温度值,最低温度值,可充电储能子系统各温度探针检测到的温度值,可充电储能装置电压,可充电储能装置电流,单体电池电压,驾驶习惯,充电量
2022-03-14 17:41:48,2.0,360267.8,355.541,-78.953,3.967,3.939,31.389,28.43,29.524,355.541,-78.953,3.95,8.008,64.974
2022-03-15 00:36:08,2.0,266311.5,357.053,-90.232,3.979,3.948,32.0,28.908,29.91,357.053,-90.232,3.967,8.108,64.703
2022-03-15 04:58:38,2.0,311468.8,358.547,-86.161,3.998,3.968,30.802,28.26,29.3,358.547,-86.161,3.985,8.07,62.245
2022-03-15 05:14:18,2.0,304972.0,358.047,-84.34,3.994,3.956,30.746,27.933,29.111,358.047,-84.34,3.981,8.014,62.415
2022-03-15 05:23:18,2.0,366764.2,360.925,-81.372,4.019,3.99,29.448,26.512,27.924,360.925,-81.372,4.01,7.924,56.059
2022-03-15 05:38:38,2.0,234809.4,358.071,-82.999,3.992,3.962,31.265,28.493,29.354,358.071,-82.999,3.979,7.972,62.263
2022-03-15 05:48:48,2.0,249185.3,359.902,-83.688,4.015,3.982,29.492,27.135,28.235,359.902,-83.688,3.998,7.888,58.125
2022-03-15 16:04:58,2.0,305149.9,354.257,-67.352,3.952,3.916,30.809,26.96,28.33,354.257,-67.352,3.94,7.946,64.396
2022-03-15 16:39:48,1.46,206950.4,357.869,-83.872,3.992,3.958,34.248,29.912,31.36,357.869,-83.872,3.977,7.951,63.389
2022-03-15 17:09:18,2.0,249424.3,358.912,-84.818,4.003,3.972,31.285,28.515,29.745,358.912,-84.818,3.987,7.89,60.799
2022-03-15 17:14:28,2.0,311651.8,357.421,-84.659,3.985,3.955,34.831,31.838,32.704,357.421,-84.659,3.972,7.998,63.52
2022-03-15 17:26:58,1.925,366937.1,357.636,-86.32,3.982,3.955,34.391,30.549,32.016,357.636,-86.32,3.973,7.916,63.336
2022-03-15 17:42:18,2.101,360712.3,355.695,-79.172,3.969,3.94,30.939,27.932,29.066,355.695,-79.172,3.952,8.116,64.715
2022-03-16 01:53:58,2.0,301859.2,356.272,-65.584,3.972,3.942,30.148,28.198,28.937,356.272,-65.584,3.959,7.957,58.686
2022-03-16 04:55:28,2.0,311865.2,359.216,-84.614,4.006,3.975,30.992,28.325,29.432,359.216,-84.614,3.992,8.033,58.771
2022-03-16 05:02:58,2.0,305379.4,358.876,-81.365,4.003,3.965,29.351,26.641,27.82,358.876,-81.365,3.991,7.998,58.891
2022-03-16 05:54:28,2.0,367168.5,361.179,-81.034,4.022,3.993,29.448,26.656,28.06,361.179,-81.034,4.012,7.805,55.826
2022-03-16 06:03:38,2.0,235315.6,359.821,-80.909,4.012,3.981,31.039,28.496,29.489,359.821,-80.909,3.999,7.893,57.537
2022-03-16 06:06:18,2.0,249719.2,359.912,-83.898,4.015,3.982,30.056,27.794,28.724,359.912,-83.898,3.998,7.847,58.269
2022-03-16 16:20:18,2.0,207246.2,356.102,-83.583,3.972,3.939,30.978,26.92,28.079,356.102,-83.583,3.957,7.859,63.905
2022-03-16 17:08:38,2.0,312052.5,356.124,-83.203,3.97,3.941,31.309,28.065,29.071,356.124,-83.203,3.958,8.075,64.081
2022-03-16 17:14:38,2.0,367377.9,359.06,-84.219,3.998,3.97,32.24,28.953,30.267,359.06,-84.219,3.988,7.738,59.912
2022-03-16 17:25:08,2.0,249940.1,357.238,-87.025,3.984,3.953,31.425,28.731,29.765,357.238,-87.025,3.968,7.884,64.328
2022-03-17 05:14:08,2.0,312282.9,360.655,-82.189,4.022,3.99,30.274,27.347,28.631,360.655,-82.189,4.008,7.95,56.159
2022-03-17 05:33:38,1.962,367549.3,358.267,-84.281,3.99,3.962,31.409,28.371,29.457,358.267,-84.281,3.98,7.914,61.407
2022-03-17 05:50:28,2.0,250215.7,359.572,-84.122,4.011,3.978,30.816,28.552,29.597,359.572,-84.122,3.994,7.863,57.96
2022-03-17 05:54:18,2.0,235767.9,358.674,-81.188,3.999,3.969,31.015,28.5,29.476,358.674,-81.188,3.986,7.922,59.998
